sent_id,sys_name,test_set,bleu,sari,sari_add,sari_keep,sari_del,ibleu,amean_bleu_sari,gmean_bleu_sari,fkgl,fkbleu,word_length,bertscore_P,bertscore_R,bertscore_F1,samsa,amean_bleu_samsa,amean_sari_samsa,amean_bleu_sari_samsa,gmean_bleu_samsa,gmean_sari_samsa,gmean_bleu_sari_samsa
43,SETrain1-Moses,turk,100.00000000000004,30.58846289919275,0.0,91.76538869757825,0.0,80.00000000000004,65.2942314495964,55.306837641644954,14.467027027027026,40.00000000000002,37,1.0,1.0,1.0,100.0,100.00000000000003,65.29423144959637,76.86282096639759,100.00000000000004,55.30683764164495,67.37817102768759
43,SETrain1-Moses,hsplit,85.23093348287141,80.47136671249949,56.83819418324506,90.59498917282512,93.9809167814283,72.50943491796558,82.85115009768545,82.81696507086454,14.467027027027026,36.25471745898279,37,0.9257806539535522,0.8414745330810547,0.8835098743438721,100.0,92.61546674143571,90.23568335624975,88.56743339845696,92.32060088781452,89.7058340981787,88.1886864907421
44,SETrain1-Moses,asset,100.00000000000004,24.30964807294011,0.0,72.92894421882032,0.0,80.00000000000004,62.15482403647008,49.30481525463829,5.041428571428573,40.00000000000002,14,0.9365957975387572,0.971676230430603,0.9541588425636292,100.0,100.00000000000003,62.15482403647005,74.76988269098005,100.00000000000004,49.304815254638285,62.41077236439373
44,SETrain1-Moses,turk,100.00000000000004,28.79260814115129,0.0,86.37782442345389,0.0,80.00000000000004,64.39630407057568,53.658744060172815,5.041428571428573,40.00000000000002,14,1.0000014305114746,1.0000014305114746,1.0000014305114746,100.0,100.00000000000003,64.39630407057564,76.26420271371711,100.00000000000004,53.65874406017281,66.0328946379394
44,SETrain1-Moses,hsplit,100.00000000000004,92.41402116402115,77.24206349206351,100.0,100.0,86.33807363700062,96.2070105820106,96.1322116483446,5.041428571428573,43.16903681850031,14,0.9627445936203004,0.8334640860557556,0.8975523114204407,100.0,100.00000000000003,96.20701058201058,97.47134038800705,100.00000000000004,96.1322116483446,97.4045600944185
45,SETrain1-Moses,asset,87.18468615910093,43.182918917863596,4.967105263157895,54.99831815709954,69.58333333333333,70.32872817221588,65.18380253848227,61.35869321691785,12.828571428571427,24.57683927887173,21,0.8950192928314209,0.9059747457504272,0.8763449192047119,50.0,68.59234307955046,46.591459458931794,60.12253502565485,66.02449778646593,46.466611086813494,57.31136283709498
45,SETrain1-Moses,turk,81.3748937097496,36.016637549423606,0.0,76.53949598160416,31.51041666666667,65.09991496779965,58.6957656295866,54.13732587011406,12.828571428571427,22.74959591639404,21,0.937066614627838,0.9346108436584472,0.905951201915741,50.0,65.68744685487479,43.0083187747118,55.797177086391066,63.78671245241818,42.43620950875772,52.72151335004967
45,SETrain1-Moses,hsplit,65.4628218389212,62.29389533195234,44.699150978220736,71.43661427171551,70.74592074592073,54.85208139763343,63.87835858543677,63.858704745461296,12.828571428571427,19.168422686673924,21,0.7434555292129517,0.6757465600967407,0.7098689675331116,50.0,57.7314109194606,56.14694766597617,59.25223905695785,57.21137205089614,55.809450513310146,58.85771599639306
46,SETrain1-Moses,asset,89.81075993548012,16.280442894592625,0.0,48.84132868377787,0.0,70.82968394193213,53.045601415036366,38.23818704449196,9.130000000000004,35.414841970966066,18,0.8493704795837402,0.9485016465187072,0.8986817002296448,50.0,69.90537996774006,33.14022144729631,52.030400943357584,67.01147660493693,28.531073318920743,41.813982224101856
46,SETrain1-Moses,turk,100.00000000000004,24.621969273132066,0.0,73.8659078193962,0.0,80.00000000000004,62.31098463656605,49.62052929295705,9.130000000000004,40.00000000000002,18,1.0000007152557373,1.0000007152557373,1.0000007152557373,50.0,75.00000000000003,37.31098463656603,58.20732309104403,70.71067811865478,35.08701274911564,49.74669844887225
